File Name,Scene1,Scene2,Scene3,Scene4,Scene5,Scene6,Scene7,Scene8,Notes,
CAMHDA301-20151218T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151218T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151219T000000Z,00:01:03,00:01:38,00:02:57,,00:06:05,00:07:35,00:10:24,00:11:56,,
CAMHDA301-20151219T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151219T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151219T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151219T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151219T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151219T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151219T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151220T000000Z,00:01:02,00:01:37,00:02:56,,00:06:02,00:07:32,00:10:29,00:12:03,,
CAMHDA301-20151220T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151220T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151220T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151220T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151220T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151220T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151220T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151221T000000Z,00:01:03,00:01:39,00:02:58,,00:06:05,00:07:36,00:10:35,00:12:08,,
CAMHDA301-20151221T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151221T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151221T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151221T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151221T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151221T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151221T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151222T000000Z,00:01:03,00:01:39,00:02:59,,00:06:07,00:07:38,00:10:30,00:12:03,,
CAMHDA301-20151222T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151222T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151222T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151222T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151222T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151222T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151222T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151223T000000Z,00:01:04,00:01:40,00:03:00,,00:06:08,00:07:39,00:10:32,00:12:06,,
CAMHDA301-20151223T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151223T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151223T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151223T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151223T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151223T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151223T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151224T000000Z,00:01:04,00:01:40,00:02:59,,00:06:06,00:07:37,00:10:34,00:12:06,,
CAMHDA301-20151224T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151224T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151224T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151224T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151224T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151224T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151224T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151225T000000Z,00:01:02,00:01:39,00:02:57,,00:06:06,00:07:37,00:10:35,00:12:07,,
CAMHDA301-20151225T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151225T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151225T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151225T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151225T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151225T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151225T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151226T000000Z,00:01:03,00:01:39,00:03:00,,00:06:10,00:07:41,00:10:33,00:12:05,,
CAMHDA301-20151226T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151226T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151226T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151226T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151226T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151226T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151226T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151227T000000Z,00:01:04,00:01:39,00:02:58,,00:06:08,00:07:39,00:10:33,00:12:05,,
CAMHDA301-20151227T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151227T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151227T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151227T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151227T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151227T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151227T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151228T000000Z,00:01:04,00:01:40,00:03:00,,00:06:07,00:07:37,00:10:29,00:12:02,,
CAMHDA301-20151228T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151228T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151228T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151228T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151228T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151228T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151228T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151229T000000Z,00:01:03,00:01:39,00:02:58,,00:06:06,00:07:37,00:10:36,00:12:09,At 00:06:00 a shrimp crossed the screen again,
CAMHDA301-20151229T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151229T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151229T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151229T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151229T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151229T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151229T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151230T000000Z,00:1:00,00:01:36,00:02:56,,00:06:06,00:07:37,00:10:28,00:12:00,,
CAMHDA301-20151230T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151230T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151230T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151230T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151230T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151230T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151230T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151231T000000Z,00:01:04,00:01:39,00:02:58,,00:06:07,00:07:37,00:10:26,00:12:00,At 10:00 some kind of animal crossed the top left corner of the screen that was red with multicolored bioluminescence oscillating around it. ,
CAMHDA301-20151231T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151231T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151231T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151231T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151231T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151231T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20151231T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20160101T000000Z,00:01:01,00:01:39,00:03:00,,00:06:08,00:07:38,00:10:31,00:12:05,Current particularly strong,
CAMHDA301-20160101T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20160101T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20160101T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20160101T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20160101T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20160101T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20160101T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20160102T000000Z,00:01:01,00:01:38,00:03:00,,00:06:07,00:07:39,00:10:30,00:12:03,,
CAMHDA301-20160102T030000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20160102T060000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20160102T090000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20160102T120000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20160102T150000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20160102T180000Z,00:01:04,00:01:40,00:02:59,,,,,,,
CAMHDA301-20160102T210000Z,00:01:04,00:01:40,00:02:59,,,,,,,
